word,value
safe*,1
peace*,1
compassion*,1
empath*,1
sympath*,1
care,1
caring,1
protect*,1
shield,1
shelter,1
amity,1
secur*,1
benefit*,1
defen*,1
guard*,1
preserve,1
preserve,7
preserve,9
harm*,2
suffer*,2
war,2
wars,2
warl*,2
warring,2
fight*,2
violen*,2
hurt*,2
kill,2
kills,2
killer*,2
killed,2
killing,2
endanger*,2
cruel*,2
brutal*,2
abuse*,2
damag*,2
ruin*,2
ravage,2
detriment*,2
crush*,2
attack*,2
annihilate*,2
destroy,2
stomp,2
abandon*,2
abandon*,6
spurn,2
impair,2
exploit,2
exploit*,10
wound*,2
fair,3
fairly,3
fairness,3
fair-*,3
fairmind*,3
fairplay,3
equal*,3
justice,3
justness,3
justifi*,3
reciproc*,3
impartial*,3
egalitar*,3
rights,3
equity,3
evenness,3
equivalent,3
unbias*,3
tolerant,3
equable,3
balance*,3
homologous,3
unprejudice*,3
reasonable,3
constant,3
honest*,3
honest*,11
unfair*,4
unequal*,4
bias*,4
unjust*,4
injust*,4
bigot*,4
discriminat*,4
disproportion*,4
inequitable,4
prejud*,4
dishonest,4
unscrupulous,4
dissociate,4
preference,4
favoritism,4
segregat*,4
segregat*,5
exclusion,4
exclud*,4
together,5
nation*,5
homeland*,5
family,5
families,5
familial,5
group,5
loyal*,5
loyal*,7
patriot*,5
communal,5
commune*,5
communit*,5
communis*,5
comrad*,5
cadre,5
collectiv*,5
joint,5
unison,5
unite*,5
fellow*,5
guild,5
solidarity,5
devot*,5
member,5
cliqu*,5
cohort,5
ally,5
insider,5
foreign*,6
enem*,6
betray*,6
betray*,8
treason*,6
treason*,8
traitor*,6
traitor*,8
treacher*,6
treacher*,8
disloyal*,6
disloyal*,8
individual*,6
apostasy,6
apostasy,8
apostasy,10
apostate,6
apostasy,8
apostasy,10
deserted,6
deserted,8
deserter*,6
deserter*,8
deserting,6
deserting,8
deceiv*,6
jilt*,6
imposter,6
miscreant,6
spy,6
sequester,6
renegade,6
terroris*,6
immigra*,6
obey*,7
obedien*,7
duty,7
law,7
lawful*,7
legal*,7
duti*,7
honor*,7
respect,7
respectful*,7
respected,7
respects,7
order*,7
father*,7
mother,7
motherl*,7
mothering,7
mothers,7
tradition*,7
hierarch*,7
authorit*,7
permit,7
permission,7
status*,7
rank*,7
leader*,7
class,7
bourgeoisie,7
caste*,7
position,7
complian*,7
command,7
supremacy,7
control,7
submi*,7
allegian*,7
serve,7
abide,7
defere*,7
defer,7
revere*,7
venerat*,7
comply,7
defian*,8
rebel*,8
dissent*,8
subver*,8
disrespect*,8
disobe*,8
sediti*,8
agitat*,8
insubordinat*,8
illegal*,8
lawless*,8
insurgent,8
mutinous,8
defy*,8
dissident,8
unfaithful,8
alienate,8
defector,8
heretic*,8
heretic*,10
nonconformist,8
oppose,8
protest,8
refuse,8
denounce,8
remonstrate,8
riot*,8
obstruct,8
piety,9
piety,11
pious,9
pious,11
purity,9
pure*,9
clean*,9
steril*,9
sacred*,9
chast*,9
holy,9
holiness,9
saint*,9
wholesome*,9
wholesome*,11
celiba*,9
abstention,9
virgin,9
virgins,9
virginity,9
virginal,9
austerity,9
integrity,9
integrity,11
modesty,9
abstinen*,9
abstemiousness,9
upright,9
upright,11
limpid,9
unadulterated,9
maiden,9
virtuous,9
refined,9
decen*,9
decen*,11
immaculate,9
innocent,9
pristine,9
church*,9
disgust*,10
deprav*,10
disease*,10
unclean*,10
contagio*,10
indecen*,10
indecen*,11
sin,10
sinful*,10
sinner*,10
sins,10
sinned,10
sinning,10
slut*,10
whore,10
dirt*,10
impiety,10
impious,10
profan*,10
gross,10
repuls*,10
sick*,10
promiscu*,10
lewd*,10
adulter*,10
debauche*,10
defile*,10
tramp,10
prostitut*,10
unchaste,10
intemperate,10
wanton,10
profligate,10
filth*,10
trashy,10
obscen*,10
lax,10
taint*,10
stain*,10
tarnish*,10
debase*,10
desecrat*,10
wicked*,10
wicked*,11
blemish,10
exploitat*,10
pervert,10
wretched*,10
wretched*,11
righteous*,11
moral*,11
ethic*,11
value*,11
upstanding,11
good,11
goodness,11
principle*,11
blameless,11
exemplary,11
lesson,11
canon,11
doctrine,11
noble,11
worth*,11
ideal*,11
praiseworthy,11
commendable,11
character,11
proper,11
laudable,11
correct,11
wrong*,11
evil,11
immoral*,11
bad,11
offend*,11
offensive*,11
transgress*,11